Data,Pioggia_Zona_1,Pioggia_Zona_2,Pioggia_Zona_3,Pioggia_Zona_4,Pioggia_Zona_5,Temperatura_Zona_5,Livello_Acqua,Portata_Uscita
06/01/2003,,,,,,,30.7,9.6
07/01/2003,,,,,,,30.7,9.5
08/01/2003,,,,,,,30.67,9.5
09/01/2003,,,,,,,30.66,7.2
10/01/2003,,,,,,,30.64,6.2
11/01/2003,,,,,,,30.62,5.8
12/01/2003,,,,,,,30.59,5.3
13/01/2003,,,,,,,30.57,4.9
14/01/2003,,,,,,,30.53,4.5
15/01/2003,,,,,,,30.5,4.1
16/01/2003,,,,,,,30.47,3.9
17/01/2003,,,,,,,30.45,3.9
18/01/2003,,,,,,,30.43,2.9
19/01/2003,,,,,,,30.41,2.9
20/01/2003,,,,,,,30.4,2.9
21/01/2003,,,,,,,30.38,2.9
22/01/2003,,,,,,,30.75,7.2
23/01/2003,,,,,,,30.83,8.1
24/01/2003,,,,,,,30.85,8.5
25/01/2003,,,,,,,30.82,8.2
26/01/2003,,,,,,,30.76,7.7
27/01/2003,,,,,,,30.73,7.2
28/01/2003,,,,,,,30.68,6.8
29/01/2003,,,,,,,30.66,6.3
30/01/2003,,,,,,,30.62,5.8
31/01/2003,,,,,,,30.56,5.2
01/02/2003,,,,,,,30.54,4.7
02/02/2003,,,,,,,30.51,4.3
03/02/2003,,,,,,,30.47,3.6
04/02/2003,,,,,,,31.00,40.00
05/02/2003,,,,,,,30.97,30.00
06/02/2003,,,,,,,30.7,12.00
07/02/2003,,,,,,,30.67,7.8
08/02/2003,,,,,,,30.64,7.4
09/02/2003,,,,,,,30.61,6.8
10/02/2003,,,,,,,30.58,6.2
11/02/2003,,,,,,,30.54,5.5
12/02/2003,,,,,,,30.49,3.00
13/02/2003,,,,,,,30.47,2.5
14/02/2003,,,,,,,30.45,1.5
15/02/2003,,,,,,,30.45,1.5
16/02/2003,,,,,,,30.45,1.5
17/02/2003,,,,,,,30.43,1.5
18/02/2003,,,,,,,30.42,0.6
19/02/2003,,,,,,,30.41,0.6
20/02/2003,,,,,,,30.42,0.6
21/02/2003,,,,,,,30.43,0.6
22/02/2003,,,,,,,30.44,0.6
23/02/2003,,,,,,,30.45,0.6
24/02/2003,,,,,,,30.46,0.6
25/02/2003,,,,,,,30.47,0.6
26/02/2003,,,,,,,30.48,0.6
27/02/2003,,,,,,,30.49,0.6
28/02/2003,,,,,,,30.5,0.6
01/03/2003,,,,,,,30.51,0.6
02/03/2003,,,,,,,30.51,0.6
03/03/2003,,,,,,,30.86,0.6
04/03/2003,,,,,,,31.03,3.1
05/03/2003,,,,,,,31.07,6.2
06/03/2003,,,,,,,31.08,6.7
07/03/2003,,,,,,,31.08,6.7
08/03/2003,,,,,,,31.07,6.2
09/03/2003,,,,,,,31.07,6.2
10/03/2003,,,,,,,31.07,6.3
11/03/2003,,,,,,,31.06,6.1
12/03/2003,,,,,,,31.06,5.5
13/03/2003,,,,,,,31.06,5.5
14/03/2003,,,,,,,31.06,5.5
15/03/2003,,,,,,,31.05,4.3
16/03/2003,,,,,,,31.05,3.5
17/03/2003,,,,,,,31.04,3.5
18/03/2003,,,,,,,31.03,3.6
19/03/2003,,,,,,,31.03,3.4
20/03/2003,,,,,,,31.03,2.7
21/03/2003,,,,,,,31.03,3.1
22/03/2003,,,,,,,31.03,3.1
23/03/2003,,,,,,,31.03,3.1
24/03/2003,,,,,,,31.03,3.1
25/03/2003,,,,,,,31.03,3.1
26/03/2003,,,,,,,31.03,3.1
27/03/2003,,,,,,,31.03,3.1
28/03/2003,,,,,,,31.03,3.1
29/03/2003,,,,,,,31.03,3.1
30/03/2003,,,,,,,31.03,3.1
31/03/2003,,,,,,,31.03,3.00
01/04/2003,,,,,,,31.03,2.1
02/04/2003,,,,,,,31.05,3.1
03/04/2003,,,,,,,31.09,6.1
04/04/2003,,,,,,,31.09,7.8
05/04/2003,,,,,,,31.06,6.8
06/04/2003,,,,,,,31.05,6.00
07/04/2003,,,,,,,31.05,5.1
08/04/2003,,,,,,,31.04,4.2
09/04/2003,,,,,,,31.04,4.1
10/04/2003,,,,,,,31.04,5.8
11/04/2003,,,,,,,31.08,7.7
12/04/2003,,,,,,,31.24,21.5
13/04/2003,,,,,,,31.17,17.6
14/04/2003,,,,,,,31.12,12.6
15/04/2003,,,,,,,31.09,10.1
16/04/2003,,,,,,,31.09,7.9
17/04/2003,,,,,,,31.07,5.8
18/04/2003,,,,,,,31.06,5.3
19/04/2003,,,,,,,31.06,5.9
20/04/2003,,,,,,,31.06,6.2
21/04/2003,,,,,,,31.07,5.4
22/04/2003,,,,,,,31.07,4.8
23/04/2003,,,,,,,31.07,5.4
24/04/2003,,,,,,,31.06,5.7
25/04/2003,,,,,,,31.06,5.1
26/04/2003,,,,,,,31.05,5.00
27/04/2003,,,,,,,31.05,4.6
28/04/2003,,,,,,,31.05,3.4
29/04/2003,,,,,,,31.05,3.7
30/04/2003,,,,,,,31.05,3.1
01/05/2003,,,,,,,31.05,2.6
02/05/2003,,,,,,,31.05,2.3
03/05/2003,,,,,,,31.05,2.00
04/05/2003,,,,,,,31.05,2.2
05/05/2003,,,,,,,31.04,2.1
06/05/2003,,,,,,,31.03,1.9
07/05/2003,,,,,,,31.03,2.00
08/05/2003,,,,,,,31.02,2.1
09/05/2003,,,,,,,31.02,2.00
10/05/2003,,,,,,,31.02,1.5
11/05/2003,,,,,,,31.02,2.4
12/05/2003,,,,,,,31.04,2.2
13/05/2003,,,,,,,31.03,2.00
14/05/2003,,,,,,,31.03,2.4
15/05/2003,,,,,,,31.02,2.00
16/05/2003,,,,,,,31.02,1.5
17/05/2003,,,,,,,31.02,1.6
18/05/2003,,,,,,,31.02,1.7
19/05/2003,,,,,,,31.01,1.5
20/05/2003,,,,,,,31.01,1.00
21/05/2003,,,,,,,31.00,0.5
22/05/2003,,,,,,,30.99,0.7
23/05/2003,,,,,,,30.99,0.6
24/05/2003,,,,,,,30.98,0.7
25/05/2003,,,,,,,30.97,0.9
26/05/2003,,,,,,,30.96,0.5
27/05/2003,,,,,,,30.95,0.5
28/05/2003,,,,,,,30.94,0.5
29/05/2003,,,,,,,30.93,0.5
30/05/2003,,,,,,,30.92,0.5
31/05/2003,,,,,,,30.93,0.5
01/06/2003,,,,,,,30.93,0.5
02/06/2003,,,,,,,30.93,0.5
03/06/2003,,,,,,,30.92,0.5
04/06/2003,,,,,,,30.91,0.5
05/06/2003,,,,,,,30.9,0.5
06/06/2003,,,,,,,30.89,0.5
07/06/2003,,,,,,,30.88,0.5
08/06/2003,,,,,,,30.87,0.5
09/06/2003,,,,,,,30.86,0.5
10/06/2003,,,,,,,30.84,0.5
11/06/2003,,,,,,,30.83,0.5
12/06/2003,,,,,,,30.82,0.5
13/06/2003,,,,,,,30.81,0.5
14/06/2003,,,,,,,30.79,0.5
15/06/2003,,,,,,,30.78,0.5
16/06/2003,,,,,,,30.77,0.5
17/06/2003,,,,,,,30.79,0.5
18/06/2003,,,,,,,30.8,0.5
19/06/2003,,,,,,,30.79,0.5
20/06/2003,,,,,,,30.78,0.5
21/06/2003,,,,,,,30.77,0.5
22/06/2003,,,,,,,30.76,0.5
23/06/2003,,,,,,,30.75,0.5
24/06/2003,,,,,,,30.74,0.5
25/06/2003,,,,,,,30.73,0.5
26/06/2003,,,,,,,30.72,0.5
27/06/2003,,,,,,,30.71,0.5
28/06/2003,,,,,,,30.69,0.5
29/06/2003,,,,,,,30.67,0.5
30/06/2003,,,,,,,30.65,0.5
01/07/2003,,,,,,,30.64,0.5
02/07/2003,,,,,,,30.62,0.5
03/07/2003,,,,,,,30.59,0.5
04/07/2003,,,,,,,30.57,3.6
05/07/2003,,,,,,,30.51,3.6
06/07/2003,,,,,,,30.45,3.6
07/07/2003,,,,,,,30.36,3.6
08/07/2003,,,,,,,30.3,3.6
09/07/2003,,,,,,,30.23,3.6
10/07/2003,,,,,,,30.16,3.6
11/07/2003,,,,,,,30.09,3.6
12/07/2003,,,,,,,30.02,4.00
13/07/2003,,,,,,,29.95,4.00
14/07/2003,,,,,,,29.87,3.5
15/07/2003,,,,,,,29.8,3.5
16/07/2003,,,,,,,29.74,3.00
17/07/2003,,,,,,,29.68,3.00
18/07/2003,,,,,,,29.62,3.00
19/07/2003,,,,,,,29.57,3.00
20/07/2003,,,,,,,29.5,3.00
21/07/2003,,,,,,,29.44,3.5
22/07/2003,,,,,,,29.37,3.5
23/07/2003,,,,,,,29.3,3.5
24/07/2003,,,,,,,29.23,3.5
25/07/2003,,,,,,,29.16,3.5
26/07/2003,,,,,,,29.09,3.5
27/07/2003,,,,,,,29.03,3.5
28/07/2003,,,,,,,28.96,3.5
29/07/2003,,,,,,,28.89,3.5
30/07/2003,,,,,,,28.81,3.5
31/07/2003,,,,,,,28.73,3.5
01/08/2003,,,,,,,28.65,3.5
02/08/2003,,,,,,,28.57,3.00
03/08/2003,,,,,,,28.5,3.00
04/08/2003,,,,,,,28.44,3.00
05/08/2003,,,,,,,28.38,3.00
06/08/2003,,,,,,,28.32,3.00
07/08/2003,,,,,,,28.27,3.00
08/08/2003,,,,,,,28.21,3.00
09/08/2003,,,,,,,28.15,2.8
10/08/2003,,,,,,,28.1,2.8
11/08/2003,,,,,,,28.04,2.8
12/08/2003,,,,,,,27.98,2.8
13/08/2003,,,,,,,27.92,2.8
14/08/2003,,,,,,,27.86,2.8
15/08/2003,,,,,,,27.8,2.8
16/08/2003,,,,,,,27.75,2.8
17/08/2003,,,,,,,27.69,2.8
18/08/2003,,,,,,,27.63,2.8
19/08/2003,,,,,,,27.57,2.8
20/08/2003,,,,,,,27.51,2.8
21/08/2003,,,,,,,27.44,2.8
22/08/2003,,,,,,,27.39,2.8
23/08/2003,,,,,,,27.33,2.8
24/08/2003,,,,,,,27.27,2.8
25/08/2003,,,,,,,27.21,2.8
26/08/2003,,,,,,,27.16,2.8
27/08/2003,,,,,,,27.1,2.8
28/08/2003,,,,,,,27.04,2.8
29/08/2003,,,,,,,26.98,2.8
30/08/2003,,,,,,,26.92,2.8
31/08/2003,,,,,,,26.86,2.8
01/09/2003,,,,,,,26.8,2.8
02/09/2003,,,,,,,26.74,2.8
03/09/2003,,,,,,,26.67,2.8
04/09/2003,,,,,,,26.61,2.8
05/09/2003,,,,,,,26.55,2.8
06/09/2003,,,,,,,26.49,2.8
